index	english	italian
67	i love him but he was hurting me so i left him but that hurts me	i love him but he was hurting me so i left him but that hurts me
68	i'm not sad anymore	i'm not sad anymore
69	I broke my sister's necklace and told her i lost it	I broke my sister's necklace and told her i lost it
70	i dont have underwear on	i dont have underwear on
71	i cant tell dreams from reality	i cant tell dreams from reality
72	I love an au pair girlfriend	I love an au pair girlfriend
73	ich mag berlin nicht wirklich	ich mag berlin nicht wirklich
74	I have spent the last few years questioning my sexuality, I still don't know	I have spent the last few years questioning my sexuality, I still don't know
75	i want love in all areas of my life	i want love in all areas of my life
76	I'm on a break with my high school sweetheart and i'm sleeping with someone else	I'm on a break with my high school sweetheart and i'm sleeping with someone else
77	my pants are on fire.	my pants are on fire.
78	i smuggle drugs in my butt	i smuggle drugs in my butt
79	i cried during lady and the tramp 2	i cried during lady and the tramp 2
80	I killed my rabbit	I killed my rabbit
81	When I was 16, I came upon a dead man in a traffic accident.	When I was 16, I came upon a dead man in a traffic accident.
82	when i see cute things i want to hurt them	when i see cute things i want to hurt them
83	I totally believe we are supposed to be in this very spot right now, and I'm still worried my life won't end up in a good way	I totally believe we are supposed to be in this very spot right now, and I'm still worried my life won't end up in a good way
84	I'm afraid that my relationship is going nowhere	I'm afraid that my relationship is going nowhere
85	I once was pregnant.	I once was pregnant.
86	i once fucked while my roommate was in the room	i once fucked while my roommate was in the room
87	i do not trust this system	i do not trust this system
88	i think of you when i'm with him	i think of you when i'm with him
89	I'm manipulating my girlfriend and she doesn't know it	I'm manipulating my girlfriend and she doesn't know it
90	i can pickpocket. I enjoy it.	i can pickpocket. I enjoy it.
91	I am scared of what the world thinks of me, I am also scared of making decisions, and doubt myself in love.	I am scared of what the world thinks of me, I am also scared of making decisions, and doubt myself in love.
92	i wrote this program	i wrote this program
93	I dont know my baby's father	I dont know my baby's father
94	we are having an affair and leaving the country on saturday	we are having an affair and leaving the country on saturday
95	I only have one nipple	I only have one nipple
96	My parents hate each other	My parents hate each other
97	I was born intersex but I haven't told anyone, not even my parents	I was born intersex but I haven't told anyone, not even my parents
98	I'm wearing dirty underwear again	I'm wearing dirty underwear again
99	Do you believe in society's lies?	Do you believe in society's lies?
100	My best friends father sexually assaulted me in front of her	My best friends father sexually assaulted me in front of her
101	i accidentally peed on a sanctuary carpet. in my defense, i was asleep and sleep-walked there, but in not my defense i didn't clean it in the morning.	i accidentally peed on a sanctuary carpet. in my defense, i was asleep and sleep-walked there, but in not my defense i didn't clean it in the morning.
102	one time i poured boiling water on my brother and then blamed someone else	one time i poured boiling water on my brother and then blamed someone else
103	I used to steal mail out of peoples' mailboxes, to look for money or baseball cards.	I used to steal mail out of peoples' mailboxes, to look for money or baseball cards.
104	I'd rather be in the mountains	I'd rather be in the mountains
105	I HAVE A SECRET TWITTER ACCOUNT WITH 15,000 FOLLOWERS THAT I HAVEN'T TOLD ANYONE IN REAL LIFE ABOUT	I HAVE A SECRET TWITTER ACCOUNT WITH 15,000 FOLLOWERS THAT I HAVEN'T TOLD ANYONE IN REAL LIFE ABOUT
106	i murdered a man once in reno	i murdered a man once in reno
107	Sometimes I think I made the wrong decision about my career	Sometimes I think I made the wrong decision about my career
108	Deep down I'm a Trump supporter...	Deep down I'm a Trump supporter...
109	i sleep with a pillow between my knees!	i sleep with a pillow between my knees!
110	my uncle lost his virginity to tyra banks...	my uncle lost his virginity to tyra banks...
111	my current outfit costs 2 months rent	my current outfit costs 2 months rent
112	i wasn't sexually attracted to my boyfriend of four years	i wasn't sexually attracted to my boyfriend of four years
113	i have a deep secret. well since my inception, I have been a super child, I have been an extra ordinary child with massive super powers	i have a deep secret. well since my inception, I have been a super child, I have been an extra ordinary child with massive super powers
114	i use a separate toothbrush to comb my fly away hairs	i use a separate toothbrush to comb my fly away hairs
115	I don't like to hug people	I don't like to hug people
116	I think I like him. I am just afraid to love again, I guess.	I think I like him. I am just afraid to love again, I guess.
117	my third grade pool instructor let me look down her shirt	my third grade pool instructor let me look down her shirt
118	I immediately think Trump supporters have issues	I immediately think Trump supporters have issues
119	i don't love myself nearly enough	i don't love myself nearly enough
120	I don't know what I want to do with my life	I don't know what I want to do with my life
121	i voted for donald trump	i voted for donald trump
122	I keep LSD in my philosophy books	I keep LSD in my philosophy books
123	my friend made me pretend to be cinderella's evil step sister and locked me in her basement while she when to the ball	my friend made me pretend to be cinderella's evil step sister and locked me in her basement while she when to the ball
124	one time i let my uncle touch my butt. it went on a lot longer than i expected it to, but i guess i was cool with it in retrospect. My uncle is a good guy, but he just cant resist his urges sometimes... at least that's how he explained it to me. It felt good at first, but after about 10 minutes I started to regret it. I love my uncle, but i think that time he went just a little too far.	one time i let my uncle touch my butt. it went on a lot longer than i expected it to, but i guess i was cool with it in retrospect. My uncle is a good guy, but he just cant resist his urges sometimes... at least that's how he explained it to me. It felt good at first, but after about 10 minutes I started to regret it. I love my uncle, but i think that time he went just a little too far.
125	I have a third nipple	I have a third nipple
126	i wear each pair of underwear 4 times	i wear each pair of underwear 4 times
127	I am tired of having to please my family and care for them but i don't know how to stop	I am tired of having to please my family and care for them but i don't know how to stop
128	i wish my dad had died so he could stop taking money from my mom	i wish my dad had died so he could stop taking money from my mom
129	the person I was named after had a lobotomy	the person I was named after had a lobotomy
130	I never blinked in my adolescent life because I was scared of the dark.	I never blinked in my adolescent life because I was scared of the dark.
131	i'm sexually attracted to almost everything, and i have to play it straight	i'm sexually attracted to almost everything, and i have to play it straight
132	i think babies are creepy looking	i think babies are creepy looking
133	i am in love with mr montine	i am in love with mr montine
134	sometimes i want to just disappear	sometimes i want to just disappear
135	are they watching us?	are they watching us?
136	My father wrote the essay that got me into college	My father wrote the essay that got me into college
137	My family know's nothing about me. I've lied about my identity my whole life.	My family know's nothing about me. I've lied about my identity my whole life.
138	everytime someone is mean to me i immediately fall a little bit in love with them.	everytime someone is mean to me i immediately fall a little bit in love with them.
139	I was a shoplifter in high school	I was a shoplifter in high school
140	i am in love with my brother	i am in love with my brother
141	regukarly steal greek yogurt...and i'm not from Berlin	regukarly steal greek yogurt...and i'm not from Berlin
142	I have panic disorder and probably PTSD	I have panic disorder and probably PTSD
143	I don't know if my parents will accept me if I come out	I don't know if my parents will accept me if I come out
144	I once invented a story about my first kiss it wasn't true at all!	I once invented a story about my first kiss it wasn't true at all!
145	every time I see a window I think of jumping	every time I see a window I think of jumping
146	I always forget how to spell my middle name	I always forget how to spell my middle name
147	i used to deal drugs	i used to deal drugs
148	I am a free mason. My name is mason, and I'm on parole.	I am a free mason. My name is mason, and I'm on parole.
149	I killed someone once, and i have never, never gotten over it. and I hope I never do.	I killed someone once, and i have never, never gotten over it. and I hope I never do.
150	a 60 year old man kissed me when i was 8. i think this is sexual assult but i don't want to admit it	a 60 year old man kissed me when i was 8. i think this is sexual assult but i don't want to admit it
151	my parents don't know that i smoke	my parents don't know that i smoke
152	One of my closest friends commited suicide and I feel broken	One of my closest friends commited suicide and I feel broken
153	I once crashed my scooter into a car, and just ran away	I once crashed my scooter into a car, and just ran away
154	i think this thing is sketchy	i think this thing is sketchy
155	i'm in love with my girlfriend but she has horrrible taste in wine	i'm in love with my girlfriend but she has horrrible taste in wine
156	one time i took a dump in a display toilet	one time i took a dump in a display toilet
157	I ran away from home when I was 11.	I ran away from home when I was 11.
158	i cheated on my ex husband	i cheated on my ex husband
159	I'm afraid I'm all alone on this universe	I'm afraid I'm all alone on this universe
160	sometimes i like to drive and think about what would happen if i just drove off the road.	sometimes i like to drive and think about what would happen if i just drove off the road.
161	i dream about him dying	i dream about him dying
162	I don't think I'll ever be able to forgive my little sister for thethings she did to my mother's life, health, and sanity.	I don't think I'll ever be able to forgive my little sister for thethings she did to my mother's life, health, and sanity.
163	i m insecure about my glasses	i m insecure about my glasses
164	je crois en nous plus que tout	je crois en nous plus que tout
165	Some people tell me I havea twinkle in my eye	Some people tell me I havea twinkle in my eye
166	I want to be a millionaire too	I want to be a millionaire too
167	I have an eating disorder but I don't think it means I don't love myself. I am not in denial	I have an eating disorder but I don't think it means I don't love myself. I am not in denial
168	I don't believe in god	I don't believe in god
169	I have dreams about my own funeral and think about my own death and i hope that people will actually show up to my funeral	I have dreams about my own funeral and think about my own death and i hope that people will actually show up to my funeral
170	I carry some of my mother's secrets on my shoulders.	I carry some of my mother's secrets on my shoulders.
171	I dance to grocery store music	I dance to grocery store music
172	I have recurring dreams of my sister dying, and I don't understand why.	I have recurring dreams of my sister dying, and I don't understand why.
173	i hit a car in the borders parking lot and it scratched the paint a little bit and i drove away	i hit a car in the borders parking lot and it scratched the paint a little bit and i drove away
174	I tried three different types of anti dperessants before I found that worked	I tried three different types of anti dperessants before I found that worked
175	there is a lot of suicide in my family	there is a lot of suicide in my family
176	My boyfriend puked after we had sex	My boyfriend puked after we had sex
177	I often get stoned and think I have matrix mind. (I'm not slow... just perceiving time so fast that it all just appears slow.)	I often get stoned and think I have matrix mind. (I'm not slow... just perceiving time so fast that it all just appears slow.)
178	everything is terrible and i want to see it get worse	everything is terrible and i want to see it get worse
179	It's not that I'm ashamed of being gay. But rather that coming out to my family as anything that isnt straight would ruin their lives,	It's not that I'm ashamed of being gay. But rather that coming out to my family as anything that isnt straight would ruin their lives,
180	i am afraid of cops	i am afraid of cops
181	I had really bad PTSD and tried to kill myself	I had really bad PTSD and tried to kill myself
182	i am sectretly a sociopath	i am sectretly a sociopath
183	die buecher, die mir am meisten bedeuten, sind die, die ich am haeufigsten weggelegt habe	die buecher, die mir am meisten bedeuten, sind die, die ich am haeufigsten weggelegt habe
184	i hope to meet someone in london and finaly fall in love	i hope to meet someone in london and finaly fall in love
185	i fantasize about kicking donald trump in the balls	i fantasize about kicking donald trump in the balls
186	the last boy in my bed has a girlfriend who's not me	the last boy in my bed has a girlfriend who's not me
187	I don't know Spanish but sometimes I scream it during sex	I don't know Spanish but sometimes I scream it during sex
188	I stalked my suitemate on Facebook and found out that he really likes Trump.	I stalked my suitemate on Facebook and found out that he really likes Trump.
189	I want to sleep with all my professors to get an A in every class.	I want to sleep with all my professors to get an A in every class.
190	i wish i grew up in the 20s	i wish i grew up in the 20s
191	I still have an eating disorder even though I pretend I'm in remission	I still have an eating disorder even though I pretend I'm in remission
192	i have so many library fines	i have so many library fines
193	im jealous of mr. kennelly's girlfriend	im jealous of mr. kennelly's girlfriend
194	I am confident, after much rumination, that death is the only comfort in life	I am confident, after much rumination, that death is the only comfort in life
195	i want to change careers and move out of thte city	i want to change careers and move out of thte city
196	I once got arrested for stealing video games from Tesco	I once got arrested for stealing video games from Tesco
197	i hugged a squirrel	i hugged a squirrel
198	im in love with my girlfriend's roomate's boyfriend but i dont know how to tell everyone	im in love with my girlfriend's roomate's boyfriend but i dont know how to tell everyone
199	i don't trust my boyfriend	i don't trust my boyfriend
200	a tattoo artist told me to get my asshole licked at least once in my life	a tattoo artist told me to get my asshole licked at least once in my life
201	I was arrested for scalping Michael Jackson tickets in NYC	I was arrested for scalping Michael Jackson tickets in NYC
202	I was attacked by an owl	I was attacked by an owl
203	i almost kissed my friend when drunk dancing, but i have a girlfriend and it makes me feel ashamed	i almost kissed my friend when drunk dancing, but i have a girlfriend and it makes me feel ashamed
204	Every day I wake up and say I'm okay but I won't be until the day I'm no longer living alone	Every day I wake up and say I'm okay but I won't be until the day I'm no longer living alone
205	I've never been honest about where I'm from	I've never been honest about where I'm from
206	I'm scared of being alone	I'm scared of being alone
207	i love feet	i love feet
208	I really have an imaginary friend.	I really have an imaginary friend.
209	no one knows that i'm gay	no one knows that i'm gay
210	my vibrator looks like an emoji	my vibrator looks like an emoji
211	I know where the Gardner paintings are located.	I know where the Gardner paintings are located.
212	Sometimes I wish I had five kids and sometimes I wish I had none	Sometimes I wish I had five kids and sometimes I wish I had none
213	i wish i were a unicorn	i wish i were a unicorn
214	i'm not wearing any underwear	i'm not wearing any underwear
215	I don't think I will ever be the same after seeing my dad pass away in front of my own eyes.	I don't think I will ever be the same after seeing my dad pass away in front of my own eyes.
216	sometimes i fell like everyone would be better off if I wasn't a part of their lives	sometimes i fell like everyone would be better off if I wasn't a part of their lives
217	I was the one who threw mud on the cars that drove by. Not my neighbor. I deserved getting yelled at when I broke a windshield, not her.	I was the one who threw mud on the cars that drove by. Not my neighbor. I deserved getting yelled at when I broke a windshield, not her.
218	I've kissed my brother	I've kissed my brother
219	I not so secretly want my secret to print	I not so secretly want my secret to print
220	haven't had sex in a year	haven't had sex in a year
221	My dad had an affair but i didn't tell anyone	My dad had an affair but i didn't tell anyone
222	i went skinny dipping for the first time last weekend	i went skinny dipping for the first time last weekend
223	EV is a Russian spy, but I still love her.	EV is a Russian spy, but I still love her.
224	I have a family secret. My Friend got framed for murder	I have a family secret. My Friend got framed for murder
225	I have aspergers	I have aspergers
226	I can't wear mismatched socks	I can't wear mismatched socks
227	my father doesn't know I live in an apartment	my father doesn't know I live in an apartment
228	i feel like I'll never know true happiness and find love...stupid?	i feel like I'll never know true happiness and find love...stupid?
229	I have a family member that I hope will die soon	I have a family member that I hope will die soon
230	One time, I stole a hairbrush from my grandfathers trophy wife	One time, I stole a hairbrush from my grandfathers trophy wife
231	I have major impostor symdrome	I have major impostor symdrome
232	I've been depressed for years	I've been depressed for years
233	I smoke to bring the world closer to me.	I smoke to bring the world closer to me.
234	i'm transgender	i'm transgender
235	i miss my ex and can get her back but know its not the right thing to do. it eats me up every night not doing so.	i miss my ex and can get her back but know its not the right thing to do. it eats me up every night not doing so.
236	i'm deathly afraid of pigeons	i'm deathly afraid of pigeons
237	I used my sister's passport as a fake in sf	I used my sister's passport as a fake in sf
238	the word penis makes me uncomfortable	the word penis makes me uncomfortable
239	I feel like I can justify the worst things I've done	I feel like I can justify the worst things I've done
240	i dont know if my fiance is the one	i dont know if my fiance is the one
241	I've killed a man	I've killed a man
242	I once scratched a car when I was 6 years old going too fast on my bike. I didn't stop or tell my parents what I did. It spanned the entire side of the car.	I once scratched a car when I was 6 years old going too fast on my bike. I didn't stop or tell my parents what I did. It spanned the entire side of the car.
243	I know the way the universe was made	I know the way the universe was made
244	i fucked my cousins when i was little	i fucked my cousins when i was little
245	my parents don't love each other	my parents don't love each other
246	i wanna drink so bad and sometimes i feel like i can	i wanna drink so bad and sometimes i feel like i can
247	I am afraid that I've disappointed my family by choosing art.	I am afraid that I've disappointed my family by choosing art.
248	i have been dating my girlfriend for 8 months and our parents still dont know	i have been dating my girlfriend for 8 months and our parents still dont know
249	i want nothing more than for my ex to break up with his new boyfriend	i want nothing more than for my ex to break up with his new boyfriend
250	you will disappear soon	you will disappear soon
251	I collect figurines of babies	I collect figurines of babies
252	i had buttsex on a tree with my surf instructor	i had buttsex on a tree with my surf instructor
253	I have a picture of Conan O'Brien in my retainer, which I still wear.	I have a picture of Conan O'Brien in my retainer, which I still wear.
254	i one time ate a whole lettuce leaf full of mayo on a dare, to impress some boys	i one time ate a whole lettuce leaf full of mayo on a dare, to impress some boys
255	I lied to my teacher in second grade	I lied to my teacher in second grade
256	i am bisexual	i am bisexual
257	i lost my virginity to a one night stand	i lost my virginity to a one night stand
258	i killed a bunny when i was 7	i killed a bunny when i was 7
259	I am very scared of making big descions	I am very scared of making big descions
260	I had sex in public with a girl i had met 4 hours earlier. Also she was close to twice my age.	I had sex in public with a girl i had met 4 hours earlier. Also she was close to twice my age.
261	i hope i figure things out	i hope i figure things out
262	I touched my math teacher's dick in the classroom	I touched my math teacher's dick in the classroom
263	you'll never know how much i really love you	you'll never know how much i really love you
264	i once spent a whole day killing frogs.	i once spent a whole day killing frogs.
265	I sleep with a man who has a pillow between his knees and a face mask.	I sleep with a man who has a pillow between his knees and a face mask.
266	I got stuck when I was being born	I got stuck when I was being born
267	I dont know who to trust	I dont know who to trust
268	I want my little sister to grow up brave	I want my little sister to grow up brave
269	i like being the victim sometimes	i like being the victim sometimes
270	I wish I could talk to my parents about my mental illness	I wish I could talk to my parents about my mental illness
271	i hate myself and have tried killing myself twice this week	i hate myself and have tried killing myself twice this week
272	I used to abuse my siblings	I used to abuse my siblings
273	Ich vergesse oft abzustimmen!	Ich vergesse oft abzustimmen!
274	You stand before a painting entitled VIO 1960	You stand before a painting entitled VIO 1960
275	Sometimes i try my dogs food	Sometimes i try my dogs food
276	I resent my mother	I resent my mother
277	I am asexual	I am asexual
278	my girlfriend doesn't know the half of my sexual deviancy	my girlfriend doesn't know the half of my sexual deviancy
279	i'm embarrassed about my driving	i'm embarrassed about my driving
280	my desire to watch everyone burn	my desire to watch everyone burn
281	A lot of people view me as a strong independent personality but still im very insecure and i feel no one can see	A lot of people view me as a strong independent personality but still im very insecure and i feel no one can see
282	sometimes i want to break up with my boyfriend because he is depressed	sometimes i want to break up with my boyfriend because he is depressed
283	I wasn't actually raped and everyone thinks i was. It ruined my fucking life. But no one knows.	I wasn't actually raped and everyone thinks i was. It ruined my fucking life. But no one knows.
284	im scared of never making good friends	im scared of never making good friends
285	I wish my mother would get fired from her job to make her stop drinking	I wish my mother would get fired from her job to make her stop drinking
286	I still love my first love	I still love my first love
287	Im afriad to be in love with someone ill leave	Im afriad to be in love with someone ill leave
288	I hate when my roommate scratches his balls on the couch and then hands me the remote.	I hate when my roommate scratches his balls on the couch and then hands me the remote.
289	My day isn't complete without a drink	My day isn't complete without a drink
290	So what i'm rich, i still cry	So what i'm rich, i still cry
291	i slept with a pedophile	i slept with a pedophile
292	My interns stole clothes from work and I didn't care	My interns stole clothes from work and I didn't care
293	I have abnormally small feet and hands	I have abnormally small feet and hands
294	I've never cried as hard as I did when I watched surfs up for the first time	I've never cried as hard as I did when I watched surfs up for the first time
295	i want to write a romance novel	i want to write a romance novel
296	i can only orgasm when thinking of 90's frosted tips justin timberlake	i can only orgasm when thinking of 90's frosted tips justin timberlake
297	im only attracted to married women.	im only attracted to married women.
298	I'm not sure I've ever been in love	I'm not sure I've ever been in love
299	i like watching people type their secrets	i like watching people type their secrets
300	i had a threeway with my roomate and her boyfriend the day before my boyfriend and I got together	i had a threeway with my roomate and her boyfriend the day before my boyfriend and I got together
301	i once stole money from the host of a party	i once stole money from the host of a party
302	i hate it when my friends are happier than me so i try to destroy their happiness	i hate it when my friends are happier than me so i try to destroy their happiness
303	i hate being an every day average Joe	i hate being an every day average Joe
304	is insecurity part of human nature	is insecurity part of human nature
305	i do things that would get me in trouble if people found out	i do things that would get me in trouble if people found out
306	I have photocopied my ass	I have photocopied my ass
307	i once ran a nude housecleaning business	i once ran a nude housecleaning business
308	I really want to quit my job but dont know how to leave.	I really want to quit my job but dont know how to leave.
309	I like to smell horse crap	I like to smell horse crap
310	every day i tell myself two things: i am a god, and "bulletproof"	every day i tell myself two things: i am a god, and "bulletproof"
311	Sometimes I think I'm so fat that I'm afraid to see anyone. I never want to be seen.	Sometimes I think I'm so fat that I'm afraid to see anyone. I never want to be seen.
312	i would marry a kennedy for the networking	i would marry a kennedy for the networking
313	i cant lie	i cant lie
314	wenn ich sage: 'das wollte ich dich gerade fragen', meine ich: 'ich habe gerade ueberhaupt nicht aufgepasst und interessiert hat es mich auch nicht'	wenn ich sage: 'das wollte ich dich gerade fragen', meine ich: 'ich habe gerade ueberhaupt nicht aufgepasst und interessiert hat es mich auch nicht'
315	i cried more when my dog died than when my grandpa died	i cried more when my dog died than when my grandpa died
316	i'm a spy	i'm a spy
317	I'm so afraid of getting married	I'm so afraid of getting married
318	I feel real sad in this instant right now	I feel real sad in this instant right now
319	im not happy with my relationship	im not happy with my relationship
320	Moss is the sexistist of speciemens '	Moss is the sexistist of speciemens '
321	confused but in love with idea of love	confused but in love with idea of love
322	my math teacher used to grade us based onour boobs in the 7th grade. the bigger the cup, the better the grade.	my math teacher used to grade us based onour boobs in the 7th grade. the bigger the cup, the better the grade.
323	im in love with someone other than my husband	im in love with someone other than my husband
324	i slept with my sisters ex... several times	i slept with my sisters ex... several times
325	I crashed my postal car	I crashed my postal car
326	I've lived in the same place for several years but still vote in my home state	I've lived in the same place for several years but still vote in my home state
327	I've cheated on everybody I have dated	I've cheated on everybody I have dated
328	I'm lonely	I'm lonely
329	i'm deeply embarrased of being a virgin	i'm deeply embarrased of being a virgin
330	I have a tattoo of a sun on my ass	I have a tattoo of a sun on my ass
331	I can and do fit my whole fist in my mouth	I can and do fit my whole fist in my mouth
332	i'm a jealous person	i'm a jealous person
333	i've never had a boyfriend	i've never had a boyfriend
334	i got fingered by a taxi driver	i got fingered by a taxi driver
335	I want to be in love of someone in my own city or place!	I want to be in love of someone in my own city or place!
336	so many library fines right now, im filled with shame...	so many library fines right now, im filled with shame...
337	i think every day that society is an elaborate distraction from death	i think every day that society is an elaborate distraction from death
338	my boyfriend is underage and im almost 30	my boyfriend is underage and im almost 30
339	i clogged the toilet in the gym bathroom last year	i clogged the toilet in the gym bathroom last year
340	I have been in love with my best friend for 12 years and have never told him.	I have been in love with my best friend for 12 years and have never told him.
341	i am too restless to live i this world long	i am too restless to live i this world long
342	Everyone I know thinks I am crazy but I am not... or maybe I am...	Everyone I know thinks I am crazy but I am not... or maybe I am...
343	i once took communion even though im jewish	i once took communion even though im jewish
344	I've often wondered about stealing art.	I've often wondered about stealing art.
345	No one would know it, but everyday is a struggle for me.	No one would know it, but everyday is a struggle for me.
346	shark movies have ruined my life	shark movies have ruined my life
347	YOU ARE BEAUTIFUL	YOU ARE BEAUTIFUL
348	my friend microwaved her hamster and it died	my friend microwaved her hamster and it died
349	i don't miss my husband	i don't miss my husband
350	i find most people incredibly immature	i find most people incredibly immature
351	i feel like im making up my mental illness	i feel like im making up my mental illness
352	I have an imaginary friend named Joe	I have an imaginary friend named Joe
353	I sometimes feel guilty for not being a doctor because I would be an amazing one	I sometimes feel guilty for not being a doctor because I would be an amazing one
354	i ate a sock once	i ate a sock once
355	i hit my aunts bumper once	i hit my aunts bumper once
356	i do not know my father.	i do not know my father.
357	my friend had a threesome with her english teacher	my friend had a threesome with her english teacher
358	Im afraid of the ocean	Im afraid of the ocean
359	sometimes i think i'm immortal	sometimes i think i'm immortal
360	I shoplifted as a child and my mother made me go back an apologize	I shoplifted as a child and my mother made me go back an apologize
361	I ate erasers in second grade	I ate erasers in second grade
362	My dad and I used to fight a lot. He used to beat me but he stopped. He's super sorry and tries his best to make up for it now, but even years later, I still haven't fully forgiven him and I don't know if I ever realyl will.	My dad and I used to fight a lot. He used to beat me but he stopped. He's super sorry and tries his best to make up for it now, but even years later, I still haven't fully forgiven him and I don't know if I ever realyl will.
363	My roommate doesn't know that I'm gay.	My roommate doesn't know that I'm gay.
364	I'm a 31 year old who's never had sex, kill me.	I'm a 31 year old who's never had sex, kill me.
365	I lost a best friend and it reallly hurts	I lost a best friend and it reallly hurts
366	I manipulate people all the time	I manipulate people all the time
367	I got my cousin pregnant	I got my cousin pregnant
368	I had a crush on my high school history teacher. I was 16, he was about 50. I was kind of obessed with him actually	I had a crush on my high school history teacher. I was 16, he was about 50. I was kind of obessed with him actually
